Pathways;Name;Identifier;Formula;Compartment;Monoisotopic Mass;Neutral Monoisotopic Mass;Average Mass;Side compound;;;;;;;;;;;;;;;;
Aminoacyl-tRNA biosynthesis - Homo sapiens (human);O-Phosphoseryl-tRNA(Sec);C16638;C13H23NO15P2R2(C5H8O6PR)n;x;0;0;0;false;;;;;;;;;;;;;;;;
Aminoacyl-tRNA biosynthesis - Homo sapiens (human);Selenophosphoric acid;C05172;H3PO3Se;x;160,9558;0;0;false;;;;;;;;;;;;;;;;
Aminoacyl-tRNA biosynthesis - Homo sapiens (human);Tetrahydrofolate;C00101;C19H23N7O6;x;445,4292;0;0;false;;;;;;;;;;;;;;;;
Arachidonic acid metabolism - Homo sapiens (human);(15S)-15-Hydroxy-5,8,11-cis-13-trans-eicosatetraenoate;C04742;C20H32O3;x;320,4663;0;0;false;;;;;;;;;;;;;;;;
Arachidonic acid metabolism - Homo sapiens (human);11,12,15-THETA;C14782;C20H34O5;x;354,481;0;0;false;;;;;;;;;;;;;;;;
Arachidonic acid metabolism - Homo sapiens (human);11,12-DHET;C14774;C20H34O4;x;338,4816;0;0;false;;;;;;;;;;;;;;;;
Arachidonic acid metabolism - Homo sapiens (human);11,12-EET;C14770;C20H32O3;x;320,4663;0;0;false;;;;;;;;;;;;;;;;
Arachidonic acid metabolism - Homo sapiens (human);11,14,15-THETA;C14814;C20H34O5;x;354,481;0;0;false;;;;;;;;;;;;;;;;
Arachidonic acid metabolism - Homo sapiens (human);11-epi-Prostaglandin F2alpha;C05959;C20H34O5;x;354,481;0;0;false;;;;;;;;;;;;;;;;
Arachidonic acid metabolism - Homo sapiens (human);11H-14,15-EETA;C14813;C20H32O4;x;336,4657;0;0;false;;;;;;;;;;;;;;;;
Arachidonic acid metabolism - Homo sapiens (human);12(R)-HPETE;C14812;C20H32O4;x;336,4657;0;0;false;;;;;;;;;;;;;;;;
Arachidonic acid metabolism - Homo sapiens (human);12(S)-HPETE;C05965;C20H32O4;x;336,4657;0;0;false;;;;;;;;;;;;;;;;
